0.05,1E-35,1E-35
0.15,1E-35,1E-35
0.25,1E-35,1E-35
0.35,1E-35,1E-35
0.45,1E-35,1E-35
0.55,1E-35,1E-35
0.65,1E-35,1E-35
0.75,1E-35,1E-35
0.85,1E-35,1E-35
0.95,1E-35,1E-35
1.05,2.91604E-12,2.18751E-12
1.15,1.93636E-12,4.40669E-12
1.25,8.98266E-12,1.16447E-11
1.35,3.22244E-10,4.00446E-10
1.45,1.99679E-10,2.30007E-10
1.55,5.48668E-10,6.0289E-10
1.65,2.11377E-9,1.98826E-9
1.75,6.90337E-8,7.5394E-8
1.85,3.02771E-8,3.05457E-8
1.95,3.25842E-9,3.21183E-9
2.05,1.18E-8,1.09879E-8
2.15,5.99761E-9,6.12804E-9
2.25,7.32212E-9,7.46992E-9
2.35,1.41102E-8,1.47811E-8
2.45,9.75832E-9,1.01889E-8
2.55,1.14517E-8,1.17971E-8
2.65,1.23662E-8,1.28461E-8
2.75,1.48517E-8,1.53844E-8
2.85,1.49206E-8,1.5586E-8
2.95,1.61291E-8,1.70061E-8
3.05,1.73748E-8,1.83537E-8
3.15,1.85539E-8,1.9708E-8
3.25,1.9415E-8,2.0884E-8
3.35,2.03088E-8,2.18638E-8
3.45,2.10317E-8,2.2785E-8
3.55,2.18147E-8,2.36077E-8
3.65,2.23163E-8,2.46047E-8
3.75,2.30255E-8,2.50471E-8
3.85,2.32095E-8,2.57452E-8
3.95,2.36856E-8,2.62397E-8
4.05,2.39921E-8,2.65608E-8
4.15,2.41841E-8,2.70838E-8
4.25,2.44551E-8,2.7422E-8
4.35,2.45039E-8,2.77315E-8
4.45,2.46344E-8,2.77956E-8
4.55,2.46092E-8,2.81191E-8
4.65,2.47226E-8,2.80787E-8
4.75,2.46066E-8,2.81314E-8
4.85,2.45254E-8,2.81603E-8
4.95,2.44265E-8,2.81957E-8
5.05,2.4396E-8,2.83651E-8
5.15,2.42073E-8,2.81204E-8
5.25,2.41309E-8,2.79948E-8
5.35,2.38838E-8,2.79287E-8
5.45,2.36203E-8,2.77032E-8
5.55,2.34806E-8,2.76728E-8
5.65,2.33389E-8,2.73973E-8
5.75,2.30901E-8,2.73287E-8
5.85,2.29021E-8,2.6999E-8
5.95,2.25791E-8,2.66768E-8
6.05,2.23909E-8,2.6569E-8
6.15,2.21935E-8,2.63679E-8
6.25,2.17244E-8,2.62652E-8
6.35,2.16181E-8,2.58087E-8
6.45,2.12202E-8,2.56309E-8
6.55,2.11324E-8,2.54152E-8
6.65,2.07724E-8,2.52003E-8
6.75,2.0603E-8,2.48028E-8
6.85,2.02854E-8,2.44745E-8
6.95,2.00248E-8,2.42513E-8
7.05,1.97721E-8,2.40166E-8
7.15,1.94877E-8,2.37152E-8
7.25,1.92262E-8,2.35208E-8
7.35,5.09262E-8,6.79413E-8
7.45,1.87539E-8,2.29423E-8
7.55,1.84829E-8,2.25061E-8
7.65,1.84944E-8,2.28853E-8
7.75,1.80563E-8,2.2145E-8
7.85,1.7753E-8,2.18633E-8
7.95,1.78065E-8,2.19273E-8
8.05,1.73477E-8,2.12869E-8
8.15,1.71164E-8,2.11466E-8
8.25,1.70207E-8,2.10063E-8
8.35,5.47768E-7,8.05204E-7
8.45,1.63196E-8,2.03697E-8
8.55,1.62203E-8,2.00306E-8
8.65,1.58379E-8,1.97687E-8
8.75,2.10281E-8,2.7416E-8
8.85,1.53956E-8,1.93228E-8
8.95,1.53469E-8,1.9217E-8
9.05,1.50301E-8,1.88861E-8
9.15,1.47875E-8,1.85642E-8
9.25,1.47354E-8,1.86114E-8
9.35,1.45093E-8,1.80964E-8
9.45,1.43067E-8,1.81369E-8
9.55,2.51314E-8,3.55029E-8
9.65,2.13901E-7,3.26836E-7
9.75,1.38312E-8,1.73797E-8
9.85,2.76729E-8,3.92809E-8
9.95,1.10666E-7,1.63612E-7
10.05,1.31087E-8,1.66386E-8
10.15,1.71715E-8,2.23447E-8
10.25,1.27403E-8,1.61823E-8
10.35,1.18505E-8,1.48637E-8
10.45,1.17239E-8,1.4468E-8
10.55,1.15021E-8,1.45348E-8
10.65,1.14084E-8,1.42526E-8
10.75,1.12022E-8,1.42341E-8
10.85,1.11275E-8,1.40216E-8
10.95,1.24849E-8,1.5592E-8
11.05,1.08234E-8,1.37356E-8
11.15,1.07454E-8,1.37421E-8
11.25,1.06168E-8,1.34618E-8
11.35,4.50215E-8,6.70377E-8
11.45,1.05832E-8,1.37038E-8
11.55,1.39779E-8,1.86772E-8
11.65,1.33563E-8,1.77008E-8
11.75,9.66364E-9,1.24031E-8
11.85,9.74748E-9,1.24242E-8
11.95,9.4011E-9,1.20386E-8
12.05,1.01752E-8,1.35514E-8
12.15,9.07731E-9,1.16279E-8
12.25,9.07137E-9,1.15826E-8
12.35,8.96977E-9,1.13458E-8
12.45,8.8362E-9,1.13956E-8
12.55,8.68199E-9,1.11649E-8
12.65,8.59715E-9,1.11142E-8
12.75,8.42945E-9,1.1034E-8
12.85,8.4483E-9,1.09146E-8
12.95,8.38966E-9,1.06975E-8
13.05,8.23121E-9,1.05258E-8
13.15,8.13491E-9,1.04732E-8
13.25,8.10248E-9,1.04646E-8
13.35,7.94071E-9,1.04062E-8
13.45,7.84916E-9,1.01236E-8
13.55,7.73442E-9,1.00811E-8
13.65,7.66031E-9,9.95008E-9
13.75,7.57199E-9,9.94761E-9
13.85,7.4555E-9,9.89359E-9
13.95,7.36101E-9,9.7645E-9
14.05,7.31015E-9,9.60895E-9
14.15,7.21665E-9,9.5416E-9
14.25,7.04262E-9,9.28979E-9
14.35,7.05564E-9,9.28732E-9
14.45,6.95117E-9,9.30489E-9
14.55,6.88278E-9,9.16538E-9
14.65,6.78225E-9,9.06196E-9
14.75,6.6546E-9,8.9254E-9
14.85,6.61645E-9,8.81929E-9
14.95,6.44391E-9,8.75505E-9
15.05,6.41696E-9,8.64463E-9
15.15,6.3625E-9,8.57676E-9
15.25,6.27768E-9,8.51746E-9
15.35,6.16999E-9,8.35553E-9
15.45,6.13556E-9,8.29846E-9
15.55,6.0662E-9,8.18514E-9
15.65,5.92924E-9,8.13276E-9
15.75,5.86414E-9,8.04048E-9
15.85,5.78222E-9,8.05376E-9
15.95,5.76602E-9,7.88541E-9
16.05,5.60158E-9,7.87652E-9
16.15,5.56808E-9,7.74933E-9
16.25,5.50346E-9,7.66609E-9
16.35,5.42027E-9,7.54733E-9
16.45,5.37842E-9,7.43019E-9
16.55,5.30041E-9,7.40647E-9
16.65,5.27031E-9,7.29906E-9
16.75,5.09453E-9,7.26093E-9
16.85,5.07342E-9,7.20702E-9
16.95,4.98922E-9,7.15889E-9
17.05,4.9214E-9,6.97648E-9
17.15,4.87536E-9,6.91991E-9
17.25,4.87266E-9,6.81803E-9
17.35,4.71593E-9,6.76226E-9
17.45,4.73168E-9,6.76143E-9
17.55,4.60421E-9,6.64936E-9
17.65,4.53216E-9,6.65647E-9
17.75,4.45808E-9,6.54432E-9
17.85,4.39317E-9,6.46163E-9
17.95,4.37164E-9,6.34702E-9
18.05,4.3101E-9,6.28497E-9
18.15,4.2093E-9,6.20133E-9
18.25,4.16064E-9,6.12581E-9
18.35,4.10985E-9,6.08449E-9
18.45,4.05248E-9,6.05152E-9
18.55,3.92361E-9,6.00275E-9
18.65,3.90261E-9,5.91174E-9
18.75,3.84134E-9,5.81424E-9
18.85,3.76608E-9,5.7883E-9
18.95,3.7528E-9,5.69547E-9
19.05,3.69741E-9,5.66239E-9
19.15,3.62159E-9,5.58535E-9
19.25,3.54517E-9,5.50961E-9
19.35,3.53927E-9,5.45939E-9
19.45,3.42663E-9,5.46047E-9
19.55,3.3503E-9,5.32491E-9
19.65,3.32213E-9,5.22414E-9
19.75,3.32005E-9,5.15943E-9
19.85,3.22814E-9,5.17965E-9
19.95,3.16328E-9,5.14495E-9
20.05,3.05814E-9,5.02464E-9
20.15,3.07885E-9,5.04548E-9
20.25,2.9689E-9,4.92216E-9
20.35,2.93149E-9,4.86084E-9
20.45,2.88951E-9,4.80169E-9
20.55,2.87471E-9,4.78815E-9
20.65,2.72775E-9,4.69329E-9
20.75,2.73642E-9,4.66481E-9
20.85,2.69282E-9,4.567E-9
20.95,2.62038E-9,4.53809E-9
21.05,2.54212E-9,4.53315E-9
21.15,2.49205E-9,4.45221E-9
21.25,2.43726E-9,4.42703E-9
21.35,2.42348E-9,4.34985E-9
21.45,2.32046E-9,4.21994E-9
21.55,2.28488E-9,4.24044E-9
21.65,2.23872E-9,4.17707E-9
21.75,2.18308E-9,4.09681E-9
21.85,2.16036E-9,4.04429E-9
21.95,2.11985E-9,4.06565E-9
22.05,2.07854E-9,3.98493E-9
22.15,1.94652E-9,3.94227E-9
22.25,1.89677E-9,3.89464E-9
22.35,1.88284E-9,3.77532E-9
