1.000000e-35	1.000000e-35	1.000000e-35	1.000000e-35	1.000000e-35	1.000000e-35	1.000000e-35	1.000000e-35	1.000000e-35
1.000000e-35	1.000000e-35	1.000000e-35	1.000000e-35	1.000000e-35	1.000000e-35	1.000000e-35	1.000000e-35	1.000000e-35
1.000000e-35	1.000000e-35	1.000000e-35	1.000000e-35	1.000000e-35	1.000000e-35	1.000000e-35	1.000000e-35	1.000000e-35
1.000000e-35	1.000000e-35	1.000000e-35	1.000000e-35	1.000000e-35	1.000000e-35	1.000000e-35	1.000000e-35	1.000000e-35
1.000000e-35	1.000000e-35	1.000000e-35	1.000000e-35	1.000000e-35	1.000000e-35	1.000000e-35	1.000000e-35	1.000000e-35
1.000000e-35	1.000000e-35	1.000000e-35	1.000000e-35	1.000000e-35	1.000000e-35	1.000000e-35	1.000000e-35	1.000000e-35
1.000000e-35	1.000000e-35	1.000000e-35	1.000000e-35	1.000000e-35	1.000000e-35	1.000000e-35	1.000000e-35	1.000000e-35
1.000000e-35	1.000000e-35	1.000000e-35	1.000000e-35	1.000000e-35	1.000000e-35	1.000000e-35	1.000000e-35	1.000000e-35
1.000000e-35	1.000000e-35	1.000000e-35	1.000000e-35	1.000000e-35	1.000000e-35	1.000000e-35	1.000000e-35	1.000000e-35
1.000000e-35	1.000000e-35	1.000000e-35	1.000000e-35	1.000000e-35	1.000000e-35	1.000000e-35	1.000000e-35	1.000000e-35
1.855866e-12	2.050362e-12	2.244858e-12	2.439354e-12	2.633850e-12	2.828346e-12	3.022842e-12	3.217338e-12	3.411834e-12
2.400228e-12	2.474076e-12	2.547924e-12	2.621772e-12	2.695620e-12	2.769468e-12	2.843316e-12	2.917164e-12	2.991012e-12
1.295978e-11	1.401936e-11	1.507894e-11	1.613852e-11	1.719810e-11	1.825768e-11	1.931726e-11	2.037684e-11	2.143642e-11
4.003766e-10	3.777142e-10	3.550518e-10	3.323894e-10	3.097270e-10	2.870646e-10	2.644022e-10	2.417398e-10	2.190774e-10
2.649802e-10	2.691964e-10	2.734126e-10	2.776288e-10	2.818450e-10	2.860612e-10	2.902774e-10	2.944936e-10	2.987098e-10
7.175530e-10	7.323890e-10	7.472250e-10	7.620610e-10	7.768970e-10	7.917330e-10	8.065690e-10	8.214050e-10	8.362410e-10
2.360614e-09	2.370228e-09	2.379842e-09	2.389456e-09	2.399070e-09	2.408684e-09	2.418298e-09	2.427912e-09	2.437526e-09
7.107024e-08	7.113138e-08	7.119252e-08	7.125366e-08	7.131480e-08	7.137594e-08	7.143708e-08	7.149822e-08	7.155936e-08
2.399503e-08	2.392326e-08	2.385149e-08	2.377972e-08	2.370795e-08	2.363618e-08	2.356441e-08	2.349264e-08	2.342087e-08
4.009257e-09	4.056144e-09	4.103031e-09	4.149918e-09	4.196805e-09	4.243692e-09	4.290579e-09	4.337466e-09	4.384353e-09
1.071514e-08	1.068748e-08	1.065982e-08	1.063216e-08	1.060450e-08	1.057684e-08	1.054918e-08	1.052152e-08	1.049386e-08
7.148839e-09	7.267218e-09	7.385597e-09	7.503976e-09	7.622355e-09	7.740734e-09	7.859113e-09	7.977492e-09	8.095871e-09
9.191569e-09	9.269608e-09	9.347647e-09	9.425686e-09	9.503725e-09	9.581764e-09	9.659803e-09	9.737842e-09	9.815881e-09
1.596632e-08	1.594024e-08	1.591416e-08	1.588808e-08	1.586200e-08	1.583592e-08	1.580984e-08	1.578376e-08	1.575768e-08
1.211073e-08	1.224116e-08	1.237159e-08	1.250202e-08	1.263245e-08	1.276288e-08	1.289331e-08	1.302374e-08	1.315417e-08
1.432725e-08	1.440210e-08	1.447695e-08	1.455180e-08	1.462665e-08	1.470150e-08	1.477635e-08	1.485120e-08	1.492605e-08
1.559368e-08	1.570196e-08	1.581024e-08	1.591852e-08	1.602680e-08	1.613508e-08	1.624336e-08	1.635164e-08	1.645992e-08
1.799330e-08	1.814370e-08	1.829410e-08	1.844450e-08	1.859490e-08	1.874530e-08	1.889570e-08	1.904610e-08	1.919650e-08
1.857211e-08	1.870192e-08	1.883173e-08	1.896154e-08	1.909135e-08	1.922116e-08	1.935097e-08	1.948078e-08	1.961059e-08
2.062557e-08	2.071484e-08	2.080411e-08	2.089338e-08	2.098265e-08	2.107192e-08	2.116119e-08	2.125046e-08	2.133973e-08
2.222697e-08	2.233854e-08	2.245011e-08	2.256168e-08	2.267325e-08	2.278482e-08	2.289639e-08	2.300796e-08	2.311953e-08
2.354538e-08	2.367116e-08	2.379694e-08	2.392272e-08	2.404850e-08	2.417428e-08	2.430006e-08	2.442584e-08	2.455162e-08
2.492909e-08	2.505888e-08	2.518867e-08	2.531846e-08	2.544825e-08	2.557804e-08	2.570783e-08	2.583762e-08	2.596741e-08
2.649111e-08	2.662552e-08	2.675993e-08	2.689434e-08	2.702875e-08	2.716316e-08	2.729757e-08	2.743198e-08	2.756639e-08
2.797572e-08	2.811704e-08	2.825836e-08	2.839968e-08	2.854100e-08	2.868232e-08	2.882364e-08	2.896496e-08	2.910628e-08
2.939591e-08	2.954682e-08	2.969773e-08	2.984864e-08	2.999955e-08	3.015046e-08	3.030137e-08	3.045228e-08	3.060319e-08
3.042617e-08	3.054154e-08	3.065691e-08	3.077228e-08	3.088765e-08	3.100302e-08	3.111839e-08	3.123376e-08	3.134913e-08
3.175015e-08	3.182050e-08	3.189085e-08	3.196120e-08	3.203155e-08	3.210190e-08	3.217225e-08	3.224260e-08	3.231295e-08
3.291638e-08	3.299346e-08	3.307054e-08	3.314762e-08	3.322470e-08	3.330178e-08	3.337886e-08	3.345594e-08	3.353302e-08
3.370002e-08	3.383324e-08	3.396646e-08	3.409968e-08	3.423290e-08	3.436612e-08	3.449934e-08	3.463256e-08	3.476578e-08
3.500979e-08	3.511178e-08	3.521377e-08	3.531576e-08	3.541775e-08	3.551974e-08	3.562173e-08	3.572372e-08	3.582571e-08
3.603173e-08	3.612406e-08	3.621639e-08	3.630872e-08	3.640105e-08	3.649338e-08	3.658571e-08	3.667804e-08	3.677037e-08
3.642895e-08	3.657410e-08	3.671925e-08	3.686440e-08	3.700955e-08	3.715470e-08	3.729985e-08	3.744500e-08	3.759015e-08
3.773251e-08	3.786442e-08	3.799633e-08	3.812824e-08	3.826015e-08	3.839206e-08	3.852397e-08	3.865588e-08	3.878779e-08
3.879510e-08	3.888150e-08	3.896790e-08	3.905430e-08	3.914070e-08	3.922710e-08	3.931350e-08	3.939990e-08	3.948630e-08
3.956967e-08	3.963094e-08	3.969221e-08	3.975348e-08	3.981475e-08	3.987602e-08	3.993729e-08	3.999856e-08	4.005983e-08
4.008602e-08	4.021344e-08	4.034086e-08	4.046828e-08	4.059570e-08	4.072312e-08	4.085054e-08	4.097796e-08	4.110538e-08
4.073856e-08	4.086152e-08	4.098448e-08	4.110744e-08	4.123040e-08	4.135336e-08	4.147632e-08	4.159928e-08	4.172224e-08
4.106090e-08	4.122140e-08	4.138190e-08	4.154240e-08	4.170290e-08	4.186340e-08	4.202390e-08	4.218440e-08	4.234490e-08
4.181684e-08	4.195148e-08	4.208612e-08	4.222076e-08	4.235540e-08	4.249004e-08	4.262468e-08	4.275932e-08	4.289396e-08
4.269440e-08	4.283550e-08	4.297660e-08	4.311770e-08	4.325880e-08	4.339990e-08	4.354100e-08	4.368210e-08	4.382320e-08
4.344402e-08	4.354954e-08	4.365506e-08	4.376058e-08	4.386610e-08	4.397162e-08	4.407714e-08	4.418266e-08	4.428818e-08
4.386998e-08	4.404766e-08	4.422534e-08	4.440302e-08	4.458070e-08	4.475838e-08	4.493606e-08	4.511374e-08	4.529142e-08
4.449376e-08	4.459802e-08	4.470228e-08	4.480654e-08	4.491080e-08	4.501506e-08	4.511932e-08	4.522358e-08	4.532784e-08
4.423729e-08	4.441388e-08	4.459047e-08	4.476706e-08	4.494365e-08	4.512024e-08	4.529683e-08	4.547342e-08	4.565001e-08
4.523824e-08	4.538698e-08	4.553572e-08	4.568446e-08	4.583320e-08	4.598194e-08	4.613068e-08	4.627942e-08	4.642816e-08
4.509693e-08	4.531136e-08	4.552579e-08	4.574022e-08	4.595465e-08	4.616908e-08	4.638351e-08	4.659794e-08	4.681237e-08
