Energy	Hydrogen	Helium	Lithium	Beryllium	Boron	Carbon	Nitrogen	Oxygen	Fluorine	Neon	Sodium	Magnesium	Aluminum	Silicon	Phosphorus	Sulfur	Chlorine	Argon	Potassium
5.2	3.14E-05	8.21E-05	0.772342264	7.358147356	2.10E+01	38.40957013	0.032497827	0.056612621	0.10423854	0.074809769	102.949689	245.8624292	466.7215598	508.674953	466.3715352	625.2953811	1.050710567	0.635608678	416.5914803
5.3	3.12E-05	7.90E-05	0.731612028	6.948370987	1.99E+01	36.2379049	0.030674768	0.053467261	0.098508272	0.070743409	97.41945152	232.8369033	442.2226636	482.2882159	442.4636248	593.6162291	0.998297126	0.603910259	396.1067888
5.4	3.11E-05	7.62E-05	0.693966867	6.569116948	1.88E+01	34.22675557	0.02898514	0.050549835	0.093189073	0.066965804	92.27798653	220.7133962	419.4100599	457.6994108	420.16761	564.0528727	0.94932917	0.574239089	376.9490639
5.5	3.09E-05	7.36E-05	0.659122349	6.217608958	1.78E+01	32.36167267	0.02741704	0.047840195	0.088244953	0.063451909	87.49187399	209.415169	398.1415431	434.7582944	399.3501522	536.4316405	0.903526219	0.546441323	359.0130927
5.6	3.08E-05	7.12E-05	0.626824782	5.891367366	1.68E+01	30.62973	0.025959808	0.045320281	0.08364361	0.060179224	83.03106104	198.8731627	378.2889712	413.3293524	379.8908491	510.5955978	0.86063477	0.520376241	342.2033958
5.7	3.07E-05	6.90E-05	0.596847415	5.588172909	1.60E+01	29.01934153	0.02460388	0.04297387	0.079356006	0.0571275	78.86847591	189.0251202	359.7366835	393.2901561	361.6808082	486.4027124	0.820425329	0.495915056	326.4332115
5.8	3.06E-05	6.69E-05	0.568987176	5.30603544	1.51E+01	27.52010307	0.023340659	0.040786368	0.075355986	0.054278481	74.97969112	179.814821	342.380116	374.5299241	344.6213945	463.7242427	0.782689807	0.472939817	311.6235966
5.9	3.05E-05	6.50E-05	0.543061842	5.043166864	1.44E+01	26.12265473	0.022162404	0.038744619	0.071619955	0.051615682	71.34262903	171.1914122	326.1245883	356.9482592	328.6231301	442.4433205	0.747239231	0.451342426	297.7026294
6	3.04E-05	6.32E-05	0.518907598	4.797957659	1.37E+01	24.8185613	0.021062132	0.036836749	0.06812659	0.049124192	67.93730405	163.1088219	310.8842378	340.4540385	313.6047248	422.4537015	0.71390173	0.431023738	284.604702
6.1	3.03E-05	6.15E-05	0.496376908	4.568956463	1.30E+01	23.60020796	0.020033535	0.035052016	0.064856592	0.046790504	64.74559639	155.5252451	296.5810826	324.964435	299.4922218	403.6586626	0.682520756	0.411892755	272.2698915
6.2	3.02E-05	5.99E-05	0.475336666	4.354852272	1.24E+01	22.46070918	0.019070904	0.033380695	0.061792465	0.044602361	61.75105309	148.4026911	283.1441954	310.4040552	286.218242	385.9700274	0.652953521	0.393865889	260.6434007
6.3	3.01E-05	5.84E-05	0.455666583	4.154458898	1.18E+01	21.39382886	0.018169063	0.031813961	0.058918324	0.042548629	58.93871284	141.7065845	270.5089738	296.7041764	273.7213152	369.3073019	0.625069602	0.376866297	249.6750594
6.4	3.01E-05	5.71E-05	0.437257774	3.966701354	1.13E+01	20.39391039	0.017323316	0.030343796	0.056219728	0.040619175	56.29495136	135.4054134	258.6164957	283.8020718	261.9452883	353.5969092	0.598749709	0.360823285	239.3188794
6.5	3.00E-05	5.58E-05	0.420011523	3.790603902	1.08E+01	19.45581504	0.016529391	0.028962909	0.053683527	0.038804763	53.80734471	129.4704181	247.4129473	271.6404113	250.8387985	338.7715086	0.573884599	0.345671757	229.5326581
6.6	2.99E-05	5.46E-05	0.403838192	3.625279557	1.03E+01	18.5748677	0.0157834	0.027664653	0.051297728	0.03709697	51.46454827	123.8753153	236.8491165	260.1667303	240.3548056	324.76939	0.550374093	0.331351727	220.2776222
6.7	2.99E-05	5.35E-05	0.388656271	3.469920826	9.82E+00	17.7468091	0.015081799	0.026442965	0.049051386	0.035488096	49.25618937	118.5960534	226.879942	249.3329564	230.4501751	311.5339342	0.528126216	0.317807872	211.5181104
6.8	2.98E-05	5.24E-05	0.374391528	3.323791539	9.40E+00	16.96775341	0.014421351	0.025292306	0.046934491	0.033971099	47.17277188	113.6105945	217.4641119	239.0949877	221.0853069	299.0131311	0.507056422	0.304989127	203.2212873
6.9	2.98E-05	5.14E-05	0.36097627	3.186219627	9.00E+00	16.23415076	0.013799098	0.02420761	0.04493788	0.032539526	45.20559136	108.8987212	208.5637063	229.4123168	212.2238027	287.1591493	0.487086901	0.29284832	195.3568883
