Energy	Air, Dry (near sea level)	Blood, Whole (ICRU-44)	Brain, Grey/White Matter (ICRU-44)	Breast Tissue (ICRU-44)	Bone, Cortical (ICRU-44)	Cadmium Telluride	Gallium Arsenide	Glass, Borosilicate (Pyrex)	Muscle, Skeletal (ICRU-44)	Polyethylene Terephthalate, (Mylar)	Polymethyl Methacrylate, (PMMA)	Polytetrafluoroethylene, (Teflon)	Polyvinyl Chloride, (PVC) 	Tissue, Soft (ICRU-44)	Water, Liquid	Adipose Tissue (ICRU-44)	PLA, (XCOM)
48.6	2.53E-04	0.244976147	0.249728878	0.226016715	0.757576442	71.36121031	19.51375098	0.702734463	0.224574183	0.282164535	0.25317772	0.483285016	0.673696241	0.240435237	0.227226112	0.200777687	0.2339
48.7	2.53E-04	0.244690383	0.249429607	0.225793421	0.753969094	70.97014361	19.40394254	0.700698471	0.224283455	0.281919705	0.252945993	0.482504956	0.670981968	0.240134963	0.22695224	0.200609034	0.23363
48.8	2.53E-04	0.244406987	0.249132783	0.225571946	0.75039005	70.58197387	19.29498673	0.698679256	0.223995109	0.281676865	0.252715143	0.481731293	0.668289749	0.239837124	0.226680599	0.200441726	0.23336
48.9	2.52E-04	0.244125933	0.24883838	0.225352273	0.74683903	70.1966744	19.18687523	0.696676647	0.22370912	0.281435993	0.252485165	0.480963963	0.665619359	0.239541695	0.226411166	0.200275749	0.23309
49	2.52E-04	0.243847198	0.248546375	0.225134383	0.743315758	69.8142188	19.07959981	0.694690474	0.223425465	0.28119707	0.252256054	0.480202899	0.662970578	0.239248654	0.226143919	0.20011109	0.23282
49.1	2.52E-04	0.243570758	0.248256743	0.224918258	0.739819961	69.43458097	18.97315232	0.692720567	0.223144119	0.280960077	0.252027805	0.47944804	0.660343186	0.238957974	0.225878836	0.199947737	0.23255
49.2	2.51E-04	0.243296589	0.247969459	0.22470388	0.73635137	69.05773505	18.86752473	0.690766762	0.22286506	0.280724994	0.251800413	0.478699321	0.65773697	0.238669633	0.225615895	0.199785676	0.23229
49.3	2.51E-04	0.243024668	0.2476845	0.224491232	0.732909719	68.68365552	18.7627091	0.688828894	0.222588264	0.280491801	0.251573874	0.477956681	0.655151714	0.238383606	0.225355075	0.199624894	0.23202
49.4	2.51E-04	0.242754972	0.247401843	0.224280296	0.729494744	68.3123171	18.65869756	0.686906802	0.222313708	0.28026048	0.251348181	0.477220057	0.65258721	0.238099872	0.225096353	0.199465378	0.23176
49.5	2.51E-04	0.242487479	0.247121464	0.224071055	0.726106185	67.94369479	18.55548235	0.685000325	0.222041369	0.280031012	0.251123331	0.47648939	0.650043248	0.237818406	0.22483971	0.199307117	0.2315
49.6	2.50E-04	0.242222165	0.246843341	0.223863492	0.722743785	67.57776386	18.45305581	0.683109306	0.221771226	0.279803379	0.250899318	0.475764618	0.647519624	0.237539186	0.224585124	0.199150098	0.23124
49.7	2.50E-04	0.24195901	0.24656745	0.22365759	0.71940729	67.21449985	18.35141035	0.681233588	0.221503256	0.279577561	0.250676139	0.475045683	0.645016135	0.23726219	0.224332574	0.198994308	0.23098
49.8	2.50E-04	0.24169799	0.24629377	0.223453332	0.716096449	66.85387858	18.25053847	0.679373017	0.221237438	0.279353542	0.250453787	0.474332527	0.642532579	0.236987396	0.22408204	0.198839735	0.23072
49.9	2.49E-04	0.241439086	0.246022278	0.223250703	0.712811013	66.49587609	18.15043276	0.67752744	0.220973749	0.279131302	0.250232259	0.473625091	0.64006876	0.236714781	0.223833502	0.198686369	0.23046
50	2.49E-04	0.241182274	0.245752953	0.223049685	0.709550738	66.14046872	18.0510859	0.675696708	0.220712169	0.278910825	0.250011549	0.472923317	0.63762448	0.236444324	0.223586941	0.198534195	0.23021
50.1	2.49E-04	0.240927535	0.245485772	0.222850264	0.808194969	65.78763305	17.95249066	0.673880671	0.220452677	0.278692094	0.249791653	0.472227151	0.635199546	0.236176004	0.223342336	0.198383205	0.22995
50.2	2.49E-04	0.240674847	0.245220715	0.222652422	0.805543215	65.43734589	17.85463987	0.672079183	0.220195251	0.278475089	0.249572567	0.471536534	0.632793768	0.2359098	0.223099669	0.198233384	0.2297
50.3	2.48E-04	0.240424189	0.244957761	0.222456145	0.802908921	65.08958432	17.75752647	0.670292098	0.219939871	0.278259796	0.249354286	0.470851414	0.630406956	0.235645691	0.22285892	0.198084723	0.22945
50.4	2.48E-04	0.240175543	0.244696889	0.222261418	0.800291941	64.74432567	17.66114345	0.668519272	0.219686518	0.278046196	0.249136805	0.470171734	0.628038924	0.235383655	0.222620069	0.19793721	0.2292
50.5	2.48E-04	0.239928886	0.244438077	0.222068223	0.797692125	64.40154749	17.5654839	0.666760565	0.21943517	0.277834274	0.24892012	0.469497442	0.625689487	0.235123674	0.2223831	0.197790834	0.22895
50.6	2.47E-04	0.239684201	0.244181307	0.221876548	0.795109329	64.06122759	17.470541	0.665015835	0.219185809	0.277624012	0.248704227	0.468828483	0.623358463	0.234865727	0.222147992	0.197645584	0.2287
50.7	2.47E-04	0.239441466	0.243926558	0.221686377	0.792543409	63.723344	17.37630798	0.663284946	0.218938414	0.277415395	0.24848912	0.468164806	0.621045671	0.234609793	0.221914728	0.197501448	0.22846
50.8	2.47E-04	0.239200663	0.243673809	0.221497694	0.789994221	63.38787499	17.28277816	0.661567758	0.218692966	0.277208406	0.248274796	0.467506358	0.618750934	0.234355853	0.221683289	0.197358417	0.22821
50.9	2.47E-04	0.238961772	0.243423042	0.221310486	0.787461625	63.05479907	17.18994494	0.659864139	0.218449447	0.27700303	0.248061251	0.466853088	0.616474075	0.234103889	0.221453659	0.19721648	0.22797
51	2.46E-04	0.238724775	0.243174237	0.221124738	0.78494548	62.72409496	17.09780179	0.658173954	0.218207836	0.276799251	0.247848479	0.466204945	0.614214921	0.23385388	0.221225818	0.197075626	0.22772
51.1	2.46E-04	0.238489653	0.242927374	0.220940437	0.782445649	62.39574161	17.00634226	0.656497071	0.217968117	0.276597053	0.247636477	0.465561879	0.6119733	0.233605807	0.220999751	0.196935844	0.22748
51.2	2.46E-04	0.238256388	0.242682436	0.220757567	0.779961994	62.06971819	16.91555995	0.654833359	0.217730269	0.276396421	0.24742524	0.46492384	0.609749042	0.233359653	0.220775439	0.196797126	0.22724
51.3	2.46E-04	0.238024961	0.242439402	0.220576115	0.777494381	61.74600411	16.82544856	0.65318269	0.217494275	0.27619734	0.247214765	0.46429078	0.607541978	0.233115398	0.220552865	0.196659459	0.227
51.4	2.45E-04	0.237795354	0.242198256	0.220396067	0.775042674	61.42457897	16.73600185	0.651544937	0.217260117	0.275999795	0.247005046	0.46366265	0.605351943	0.232873024	0.220332013	0.196522836	0.22677
51.5	2.45E-04	0.237567549	0.241958978	0.22021741	0.772606742	61.1054226	16.64721365	0.649919973	0.217027777	0.27580377	0.24679608	0.463039401	0.603178773	0.232632513	0.220112867	0.196387244	0.22653
51.6	2.45E-04	0.237341529	0.24172155	0.22004013	0.770186452	60.78851502	16.55907785	0.648307675	0.216797237	0.275609253	0.246587863	0.462420988	0.601022306	0.232393847	0.219895409	0.196252676	0.22629
51.7	2.45E-04	0.237117277	0.241485955	0.219864214	0.767781675	60.47383649	16.47158842	0.646707918	0.216568481	0.275416227	0.246380391	0.461807363	0.598882381	0.232157008	0.219679623	0.19611912	0.22606
51.8	2.44E-04	0.236894774	0.241252175	0.21968965	0.765392282	60.16136746	16.3847394	0.645120582	0.21634149	0.275224679	0.246173658	0.461198479	0.59675884	0.231921979	0.219465493	0.195986568	0.22583
51.9	2.44E-04	0.236674005	0.241020192	0.219516423	0.763018147	59.85108858	16.29852487	0.643545546	0.216116248	0.275034595	0.245967663	0.460594292	0.594651527	0.231688743	0.219253005	0.195855011	0.2256
52	2.44E-04	0.236454953	0.240789989	0.219344521	0.760659141	59.5429807	16.21293902	0.641982692	0.215892738	0.27484596	0.2457624	0.459994756	0.592560285	0.231457283	0.21904214	0.195724438	0.22536
52.1	2.44E-04	0.2362376	0.24056155	0.219173932	0.758315142	59.23702489	16.12797607	0.640431903	0.215670943	0.274658761	0.245557865	0.459399825	0.590484963	0.231227581	0.218832886	0.19559484	0.22514
52.2	2.43E-04	0.23602193	0.240334857	0.219004643	0.755986025	58.9332024	16.04363031	0.638893061	0.215450848	0.274472985	0.245354054	0.458809458	0.588425409	0.230999621	0.218625225	0.195466209	0.22491
52.3	2.43E-04	0.235807928	0.240109893	0.218836642	0.753671668	58.63149467	15.9598961	0.637366053	0.215232435	0.274288617	0.245150965	0.458223608	0.586381474	0.230773386	0.218419142	0.195338535	0.22468
52.4	2.43E-04	0.235595577	0.239886643	0.218669916	0.75137195	58.33188333	15.87676785	0.635850765	0.215015689	0.274105644	0.244948591	0.457642234	0.584353009	0.230548861	0.218214624	0.195211809	0.22445
52.5	2.43E-04	0.235384861	0.23966509	0.218504453	0.749086751	58.03435023	15.79424006	0.634347085	0.214800594	0.273924053	0.244746931	0.457065293	0.582339868	0.230326028	0.218011655	0.195086023	0.22423
52.6	2.43E-04	0.235175764	0.239445217	0.218340242	0.746815952	57.73887737	15.71230725	0.632854903	0.214587134	0.273743831	0.24454598	0.456492743	0.580341907	0.230104873	0.21781022	0.194961168	0.22401
